Controller_time,Current_output
,
56:21.7,-0.62319
56:21.7,-0.62319
56:21.7,-0.6154
56:21.7,-0.6154
56:21.7,-0.6154
56:21.7,-0.6154
56:21.7,-0.6154
56:21.7,-0.6154
56:21.7,-0.6154
56:21.8,-0.6154
56:21.8,-0.59983
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.59983
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.6154
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.6154
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.6154
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.6154
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.6154
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.62319
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.62319
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.62319
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.59983
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.6154
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.8,-0.59983
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.59205
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.59205
56:21.9,-0.59983
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.6154
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.6154
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.59983
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.6154
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.6154
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.6154
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
56:21.9,-0.62319
