Controller_time,Current_output_x,Current_output_y
,,
56:21.7,-0.6154,0.02813
56:21.8,-0.59983,0.02813
56:21.9,-0.62319,0.01257
56:22.0,-0.62319,0.0437
56:22.1,-0.59205,0.02035
56:22.2,-0.58427,0.03592
56:22.3,-0.59205,0.02813
56:22.4,-0.59205,0.02813
56:22.5,-0.5687,0.02813
56:22.6,-0.56091,0.03592
56:22.7,-0.5687,0.03592
56:22.8,-0.5687,0.0437
56:22.9,-0.5687,0.02813
56:23.0,-0.5687,0.05148
56:23.1,-0.5687,0.05148
56:23.2,-0.52978,0.0437
56:23.3,-0.55313,0.0437
56:23.4,-0.5687,0.02813
56:23.5,-0.5687,0.03592
56:23.6,-0.5687,0.0437
56:23.7,-0.56091,0.02813
56:23.8,-0.53756,0.02813
56:23.9,-0.68546,0.03592
56:24.0,-0.30405,0.02035
56:24.1,-0.86449,0.02035
56:24.2,-0.78665,0.02035
56:24.3,-0.93454,0.03592
56:24.4,-0.79443,0.03592
56:24.5,-1.15249,0.03592
56:24.6,-1.0513,0.02813
56:24.7,-1.39379,0.02035
56:24.8,-1.39379,0.02813
56:24.9,-1.90753,0.01257
56:25.0,-1.69736,0.0437
56:25.1,-1.94645,0.01257
56:25.2,-2.23445,0.01257
56:25.3,-2.63921,0.02813
56:25.4,-2.95057,0.0437
56:25.5,-3.19965,0.0437
56:25.6,-3.7056,0.02813
56:25.7,-3.98582,0.02813
56:25.8,-4.45286,0.00478
56:25.9,-4.6708,0.00478
56:26.0,-4.6708,0.00478
56:26.1,-5.19232,0.01257
56:26.2,-5.26238,-0.003
56:26.3,-5.68271,0.02035
56:26.4,-5.68271,0.01257
56:26.5,-6.13417,0.01257
56:26.6,-6.17309,0.01257
56:26.7,-6.59342,0.01257
56:26.8,-6.33656,0.01257
56:26.9,-6.83472,0.01257
56:27.0,-6.63234,0.01257
56:27.1,-7.27841,0.02035
56:27.2,-6.88143,0.02813
56:27.3,-7.4263,0.01257
56:27.4,-7.27841,0.01257
56:27.5,-7.90112,0.02035
56:27.6,-7.77657,0.00478
56:27.7,-7.93225,0.01257
56:27.8,-7.94004,0.00478
56:27.9,-8.55496,0.00478
56:28.0,-8.1969,0.00478
56:28.1,-8.74177,0.02813
56:28.2,-8.5861,0.01257
56:28.3,-9.13097,0.00478
56:28.4,-8.71064,0.00478
56:28.5,-9.28665,0.00478
56:28.6,-9.06091,0.01257
56:28.7,-9.5046,0.00478
56:28.8,-6.88143,0.01257
56:28.9,-6.95148,0.00478
56:29.0,-6.39104,0.02035
56:29.1,-5.16119,0.01257
56:29.2,-4.89654,0.00478
56:29.3,-4.85762,0.00478
56:29.4,-4.50734,0.00478
56:29.5,-4.24269,0.00478
56:29.6,-4.28939,0.00478
56:29.7,-3.82236,0.00478
56:29.8,-4.03253,0.01257
56:29.9,-3.72117,0.02035
56:30.0,-3.51879,0.01257
56:30.1,-3.54214,0.01257
56:30.2,-3.33976,0.01257
56:30.3,-3.26971,0.01257
56:30.4,-3.26971,0.00478
56:30.5,-3.1763,0.01257
56:30.6,-3.16851,0.00478
56:30.7,-3.1763,0.01257
56:30.8,-2.9817,0.02035
56:30.9,-2.79489,0.02035
56:31.0,-2.70148,0.02035
56:31.1,-2.80267,0.00478
56:31.2,-2.85716,0.02035
56:31.3,-2.77154,0.01257
56:31.4,-2.6937,0.01257
56:31.5,-2.72483,0.01257
56:31.6,-2.59251,0.02813
56:31.7,-2.61586,0.02813
56:31.8,-2.58472,0.01257
56:31.9,-2.53024,-0.003
56:32.0,-2.56916,0.01257
56:32.1,-2.43683,0.01273
56:32.2,-2.63921,0.02051
56:32.3,-2.59251,0.01273
56:32.4,-2.50688,0.02051
56:32.5,-2.4524,0.02051
56:32.6,-2.55359,0.02051
56:32.7,-2.55359,0.0283
56:32.8,-2.42126,0.0283
56:32.9,-2.42126,0.02051
56:33.0,-2.36677,0.0283
56:33.1,-2.33564,0.04386
56:33.2,-2.22667,0.03608
56:33.3,-2.28115,0.0283
56:33.4,-2.34342,0.02051
56:33.5,-2.23445,0.04386
56:33.6,-2.22667,0.05165
56:33.7,-2.35121,0.04386
56:33.8,-2.31229,0.05165
56:33.9,-2.21888,0.03608
56:34.0,-2.24223,-0.04176
56:34.1,-2.0632,-0.8435
56:34.2,-2.08656,-1.20156
56:34.3,-2.04764,-1.8087
56:34.4,-2.04764,-1.77756
56:34.5,-2.0165,-1.91767
56:34.6,-2.03985,-1.94103
56:34.7,-2.15661,-1.97216
56:34.8,-2.24223,-2.01886
56:34.9,-2.17218,-1.94881
56:35.0,-2.12547,-2.05
56:35.1,-2.10991,-1.96438
56:35.2,-2.10991,-2.08892
56:35.3,-2.10991,-39.42042
56:35.4,-2.03985,-42.16813
56:35.5,-1.93866,-2.07335
56:35.6,-1.94645,-2.04222
56:35.7,-1.95423,-2.15897
56:35.8,-2.00872,-2.15119
